中文,时态(填写),疑问词,时表词,主语,句剩,动词,其他
他给你什么了,一般过去时,what,did,he,/,give,you
你平常睡的好吗,一般现在时,/,Do,you,/,sleep,well
你刚说什么,一般过去时,what ,did,you,,say,
你平常都不给你妈妈打电话吗,一般现在时,/,Don't,you,,call ,your mother
你告诉谁了,一般过去时,who,did ,you,,tell,
他昨天没回来吗,一般过去时,/,Didn't,he,,come back,yesterday
你在等谁,一般现在时,who,are,you,,waiting ,for
你打算什么时候买房,一般将来时,when,are,you,going to,buy ,house
你不打算告诉他吗,一般将来时,,Aren't,you ,going to,tell,him
他怎么知道的,一般过去时,how,did,he,,know,
,,,,,,,
,,,,,,,
瞬间思维中文模板(记住),,,,,,,
,,,,,,,
你给他打电话了吗?,Did you call him?,,,,,,
你为什么给他打电话?,Why did you call him?,,,,,,
你没给他打电话吗?,Did not you call him?,,,,,,
你为什么给他打电话?,Why did not you call him?,,,,,,
你什么时候给他打的电话?,When did you call him?,,,,,,
你在哪给他打的电话?,Where did you call him?,,,,,,
你怎么给他打的电话?,How did you call him ?,,,,,,
你跟谁给他打的电话?,With whom did you call him?,,,,,,
你用啥给他打的电话?,With what did you call him?,,,,,,
你用谁的手机给他打的电话?,With whose phone did you call him?,,,,,,
你用哪部手机给他打的电话?,With which phone did you call him?,,,,,,
,,,,,,,
,,,,,,,
中文,时态(填写),疑问词,时表词,主语,句剩,动词,其他
你跟谁一起去的北京?,一般过去时,With whom,did,you,,go to,BeiJing ?
你为什么离开我?,一般过去时,why,did,you,,leave,me?
你平常跑步吗?,一般现在时,,do,you,,run,
你在跟哪个老师学英语?,现在进行时,Which teacher,are,you,,learning,English with?
什么时候会下雨呢?,一般将来时,when,is,it,going to,rain,
你平常向谁汇报?,一般现在时,To whom,do,you,,report,work
你准备跟警察说什么?,一般将来时,what,are,you ,going to,tell,the police
小偷是从哪扇窗户进入这个房间的？,一般过去时,Which window,did,the thief,,through,this room from
老师现在在哪间教室上课呢?,现在进行时,In which class,is,the teacher, ,havaing,a class
他是用什么打你的?,一般过去时,With what,did,he,,beat,you
